"Abdi, Sanae",SPD
"Abel, Valentin",FDP
"Abraham, Knut",CDU/CSU
"Adler, Katja",FDP
"Aeffner, Stephanie",Alliance 90/The Greens
"Ahmetovic, Adis",SPD
"Akbulut, Gökay",The Left Party
"Al-Dailami, Ali",The Left Party
"Al-Halak, Muhanad",FDP
"Alabali-Radovan, Reem",SPD
"Albani, Stephan",CDU/CSU
"Alt, Renata",FDP
"Altenkamp, Norbert Maria",CDU/CSU
"Amthor, Philipp",CDU/CSU
"Amtsberg, Luise",Alliance 90/The Greens
"Andres, Dagmar",SPD
"Annen, Niels",SPD
"Arlt, Johannes",SPD
"Aschenberg-Dugnus, Christine",FDP
"Audretsch, Andreas",Alliance 90/The Greens
"Auernhammer, Artur",CDU/CSU
"Aumer, Peter",CDU/CSU
"Außendorf, Maik",Alliance 90/The Greens
"Bacherle, Tobias",Alliance 90/The Greens
"Bachmann, Carolin",AfD
"Badum, Lisa",Alliance 90/The Greens
"Baehrens, Heike",SPD
"Bär, Dorothee",CDU/CSU
"Bär, Karl",Alliance 90/The Greens
"Baerbock, Annalena",Alliance 90/The Greens
"Bahr, Ulrike",SPD
"Baldy, Daniel",SPD
"Banaszak, Felix",Alliance 90/The Greens
"Baradari, Nezahat",SPD
"Bareiß, Thomas",CDU/CSU
"Bartol, Sören",SPD
"Bartsch, Dr. Dietmar",The Left Party
"Bas, Bärbel",SPD
"Bauer, Nicole",FDP
"Baum, Dr. Christina",AfD
"Baumann, Dr. Bernd",AfD
"Bayram, Canan",Alliance 90/The Greens
"Beck, Katharina",Alliance 90/The Greens
"Beckamp, Roger",AfD
"Becker, Dr. Holger",SPD
"Beeck, Jens",FDP
"Benner, Lukas",Alliance 90/The Greens
"Berghahn, Jürgen",SPD
"Berghegger, Dr. André",CDU/CSU
"Bergt, Bengt",SPD
"Bernhard, Marc",AfD
"Beyer, Peter",CDU/CSU
"Biadacz, Marc",CDU/CSU
"Bilger, Steffen",CDU/CSU
"Birkwald, Matthias W.",The Left Party
"Blankenburg, Jakob",SPD
"Bleck, Andreas",AfD
"Bochmann, René",AfD
"Bodtke, Ingo",FDP
"Boehringer, Peter",AfD
"Boginski, Friedhelm",FDP
"Bollmann, Gereon",AfD
"Borchardt, Simone",CDU/CSU
"Brand (Fulda), Michael",CDU/CSU
"Brandenburg (Rhein-Neckar), Dr. Jens",FDP
"Brandenburg (Südpfalz), Mario",FDP
"Brandes, Dirk",AfD
"Brandl, Dr. Reinhard",CDU/CSU
"Brandner, Stephan",AfD
"Brantner, Dr. Franziska",Alliance 90/The Greens
"Braun, Prof. Dr. Helge",CDU/CSU
"Braun, Jürgen",AfD
"Breher, Silvia",CDU/CSU
"Brehm, Sebastian",CDU/CSU
"Brehmer, Heike",CDU/CSU
"Breilmann, Michael",CDU/CSU
"Breymaier, Leni",SPD
"Brinkhaus, Ralph",CDU/CSU
"Brodesser, Dr. Carsten",CDU/CSU
"Bröhr, Dr. Marlon",CDU/CSU
"Brugger, Agnieszka",Alliance 90/The Greens
"Bsirske, Frank",Alliance 90/The Greens
"Bubendorfer-Licht, Sandra",FDP
"Budde, Katrin",SPD
"Bühl, Marcus",AfD
"Bury, Yannick",CDU/CSU
"Buschmann, Dr. Marco",FDP
"Busen, Karlheinz",FDP
"Bystron, Petr",AfD
"Cademartori Dujisin, Isabel",SPD
"Castellucci, Prof. Dr. Lars",SPD
"Christmann, Dr. Anna",Alliance 90/The Greens
"Chrupalla, Tino",AfD
"Connemann, Gitta",CDU/CSU
"Coße, Jürgen",SPD
"Cotar, Joana",AfD
"Cronenberg, Carl-Julius",FDP
"Curio, Dr. Gottfried",AfD
"Czaja, Mario",CDU/CSU
"Dahmen, Dr. Janosch",Alliance 90/The Greens
"Daldrup, Bernhard",SPD
"Damerow, Astrid",CDU/CSU
"Dağdelen, Sevim",The Left Party
"Deligöz, Ekin",Alliance 90/The Greens
"Demir, Hakan",SPD
"Detzer, Dr. Sandra",Alliance 90/The Greens
"Diaby, Dr. Karamba",SPD
"Diedenhofen, Martin",SPD
"Dieren, Jan",SPD
"Dietz, Thomas",AfD
"Dilcher, Esther",SPD
"Dittmar, Sabine",SPD
"Djir-Sarai, Bijan",FDP
"Dobrindt, Alexander",CDU/CSU
"Döring, Felix",SPD
"Domscheit-Berg, Anke",The Left Party
"Donth, Michael",CDU/CSU
"Dröge, Katharina",Alliance 90/The Greens
"Droßmann, Falko",SPD
"Düring, Deborah",Alliance 90/The Greens
"Dürr, Christian",FDP
"Durz, Hansjörg",CDU/CSU
"Ebner, Harald",Alliance 90/The Greens
"Echeverria, Axel",SPD
"Eckert, Leon",Alliance 90/The Greens
"Edelhäußer, Ralph",CDU/CSU
"Ehrhorn, Thomas",AfD
"Eichwede, Sonja",SPD
"Emmerich, Marcel",Alliance 90/The Greens
"Engelhard, Alexander",CDU/CSU
"Engelhardt, Heike",SPD
"Englhardt-Kopf, Martina",CDU/CSU
"Erndl, Thomas",CDU/CSU
"Ernst, Klaus",The Left Party
"Esdar, Dr. Wiebke",SPD
"Esken, Saskia",SPD
"Espendiller, Dr. Michael",AfD
"Faber, Dr. Marcus",FDP
"Färber, Hermann",CDU/CSU
"Fäscher, Ariane",SPD
"Fahimi, Yasmin",SPD
"Farle, Robert",AfD
"Fechner, Dr. Johannes",SPD
"Feiler, Uwe",CDU/CSU
"Felser, Peter",AfD
"Ferlemann, Enak",CDU/CSU
"Ferschl, Susanne",The Left Party
"Fester, Emilia",Alliance 90/The Greens
"Fiedler, Sebastian",SPD
"Föst, Daniel",FDP
"Franke, Dr. Edgar",SPD
"Frei, Thorsten",CDU/CSU
"Fricke, Otto",FDP
"Friedhoff, Dietmar",AfD
"Friedrich (Hof), Dr. Hans-Peter",CDU/CSU
"Frieser, Michael",CDU/CSU
"Frömming, Dr. Götz",AfD
"Frohnmaier, Markus",AfD
"Funke, Fabian",SPD
"Funke-Kaiser, Maximilian",FDP
"Gädechens, Ingo",CDU/CSU
"Gambir, Schahina",Alliance 90/The Greens
"Ganserer, Tessa",Alliance 90/The Greens
"Gaßner-Herz, Martin",FDP
"Gastel, Matthias",Alliance 90/The Greens
"Gauland, Dr. Alexander",AfD
"Gava, Manuel",SPD
"Gebhart, Dr. Thomas",CDU/CSU
"Gehring, Kai",Alliance 90/The Greens
"Geissler, Dr. Jonas",CDU/CSU
"Gelbhaar, Stefan",Alliance 90/The Greens
"Gerdes, Michael",SPD
"Gerschau, Knut",FDP
"Gerster, Martin",SPD
"Gesenhues, Dr. Jan-Niclas",Alliance 90/The Greens
"Glaser, Albrecht",AfD
"Glöckner, Angelika",SPD
"Gnauck, Hannes",AfD
"Göring-Eckardt, Katrin",Alliance 90/The Greens
"Görke, Christian",The Left Party
"Gohlke, Nicole",The Left Party
"Gottschalk, Kay",AfD
"Gräßle, Dr. Ingeborg",CDU/CSU
"Gramling, Fabian",CDU/CSU
"Grau, Prof. Dr. Armin",Alliance 90/The Greens
"Gremmels, Timon",SPD
"Griese, Kerstin",SPD
"Gröhe, Hermann",CDU/CSU
"Grötsch, Ulrich",SPD
"Grosse-Brömer, Michael",CDU/CSU
"Grübel, Markus",CDU/CSU
"Grütters, Prof. Monika",CDU/CSU
"Grützmacher, Sabine",Alliance 90/The Greens
"Grund, Manfred",CDU/CSU
"Grundl, Erhard",Alliance 90/The Greens
"Grundmann, Oliver",CDU/CSU
"Güler, Serap",CDU/CSU
"Güntzler, Fritz",CDU/CSU
"Gürpinar, Ates",The Left Party
"Gutting, Olav",CDU/CSU
"Gysi, Dr. Gregor",The Left Party
"Haase, Christian",CDU/CSU
"Habeck, Dr. Robert",Alliance 90/The Greens
"Hacker, Thomas",FDP
"Hagedorn, Bettina",SPD
"Hagl-Kehl, Rita",SPD
"Hahn, Dr. André",The Left Party
"Hahn, Florian",CDU/CSU
"Hakverdi, Metin",SPD
"Hanke, Reginald",FDP
"Harder-Kühnel, Mariana Iris",AfD
"Hardt, Jürgen",CDU/CSU
"Hartewig, Philipp",FDP
"Hartmann, Sebastian",SPD
"Harzer, Ulrike",FDP
"Haßelmann, Britta",Alliance 90/The Greens
"Hauer, Matthias",CDU/CSU
"Haug, Jochen",AfD
"Heck, Dr. Stefan",CDU/CSU
"Heidenblut, Dirk",SPD
"Heidt, Peter",FDP
"Heil (Peine), Hubertus",SPD
"Heil, Mechthild",CDU/CSU
"Heiligenstadt, Frauke",SPD
"Heilmann, Thomas",CDU/CSU
"Heinrich, Gabriela",SPD
"Heitmann, Linda",Alliance 90/The Greens
"Helferich, Matthias",Independent
"Helfrich, Mark",CDU/CSU
"Helling-Plahr, Katrin",FDP
"Hellmich, Wolfgang",SPD
"Henneberger, Kathrin",Alliance 90/The Greens
"Hennig, Anke",SPD
"Hennig-Wellsow, Susanne",The Left Party
